algorithm,lambda,run,cost,runtime,hospitals,avg_travel,evaluations
Hill Climbing,1,1,3167.5589394085164,0.17327610007487237,60,5.629635759798037,6601
Hill Climbing,1,2,3167.5589394085164,0.14931369991973042,60,5.629635759798037,6001
Hill Climbing,1,3,3167.5589394085164,0.16392199997790158,60,5.629635759798037,5901
Hill Climbing,1,4,3167.5589394085164,0.1387357001658529,60,5.629635759798037,5401
Hill Climbing,1,5,3167.5589394085164,0.1491517999675125,60,5.629635759798037,6201
Hill Climbing,1,6,3167.5589394085164,0.1379130999557674,60,5.629635759798037,5001
Hill Climbing,1,7,3167.5589394085164,0.14682119991630316,60,5.629635759798037,6201
Hill Climbing,1,8,3167.5589394085164,0.1658633998595178,60,5.629635759798037,5901
Hill Climbing,1,9,3167.5589394085164,0.14162639994174242,60,5.629635759798037,5801
Hill Climbing,1,10,3167.5589394085164,0.1592369000427425,60,5.629635759798037,6701
Simulated Annealing,1,1,3167.5589394085164,0.9714490999467671,60,5.629635759798037,20000
Simulated Annealing,1,2,3167.5589394085164,0.8882759001571685,60,5.629635759798037,20000
Simulated Annealing,1,3,3167.5589394085164,0.8892204000148922,60,5.629635759798037,20000
Simulated Annealing,1,4,3167.5589394085164,0.9135741000063717,60,5.629635759798037,20000
Simulated Annealing,1,5,3167.5589394085164,0.9720717999152839,60,5.629635759798037,20000
Simulated Annealing,1,6,3167.5589394085164,0.8492913001682609,60,5.629635759798037,20000
Simulated Annealing,1,7,3167.5589394085164,0.8227353999391198,60,5.629635759798037,20000
Simulated Annealing,1,8,3167.5589394085164,0.8860500999726355,60,5.629635759798037,20000
Simulated Annealing,1,9,3167.5589394085164,0.9512740999925882,60,5.629635759798037,20000
Simulated Annealing,1,10,3167.5589394085164,0.8569395998492837,60,5.629635759798037,20000
Hill Climbing,10,1,3663.7737613318845,0.1632853001356125,50,5.731474205311385,4401
Hill Climbing,10,2,3661.56412970005,0.16746130003593862,49,5.7455871914855985,5401
Hill Climbing,10,3,3656.337557891604,0.13580529997125268,50,5.718002822267398,5101
Hill Climbing,10,4,3661.0476519276813,0.17455250001512468,50,5.726535601318263,5101
Hill Climbing,10,5,3661.0476519276813,0.14903720002621412,50,5.726535601318263,5001
Hill Climbing,10,6,3662.3781389209203,0.14380719978362322,50,5.728945903842247,5101
Hill Climbing,10,7,3665.119167731352,0.12481230008415878,50,5.733911535745203,4501
Hill Climbing,10,8,3662.6470587835115,0.13870010012760758,51,5.711317135477376,5201
Hill Climbing,10,9,3669.701801600184,0.1457885999698192,51,5.724097466667,5201
Hill Climbing,10,10,3676.0194764044577,0.12142709991894662,50,5.753658471747206,4601
Simulated Annealing,10,1,3678.4003283189154,0.9297144000884145,50,5.7579716092733975,20000
Simulated Annealing,10,2,3682.9346102279655,0.9303117000963539,49,5.784301830123126,20000
Simulated Annealing,10,3,3689.4394565613425,0.7752242998685688,51,5.759854087973446,20000
Simulated Annealing,10,4,3684.9290022748833,0.9654540999326855,51,5.751682975135658,20000
Simulated Annealing,10,5,3678.7012363669305,1.1799961000215262,51,5.740400790519802,20000
Simulated Annealing,10,6,3677.648484564764,0.8645395000930876,50,5.756609573486892,20000
Simulated Annealing,10,7,3683.9775187711134,0.7935283000115305,51,5.749959273136075,20000
Simulated Annealing,10,8,3667.791895608003,0.7562213002238423,49,5.756869376101455,20000
Simulated Annealing,10,9,3675.424640247648,0.7443906001280993,49,5.77069681204284,20000
Simulated Annealing,10,10,3664.3417385403095,0.7667515000794083,51,5.714387207500561,20000
Hill Climbing,50,1,5089.858394520551,0.08514480013400316,27,6.775105787174911,2501
Hill Climbing,50,2,5173.234906224536,0.08370790001936257,27,6.926150192435753,3101
Hill Climbing,50,3,5141.0855172557585,0.08069639978930354,26,6.9584882558981125,2701
Hill Climbing,50,4,5166.46171058573,0.06758300005458295,27,6.913879910481394,2701
Hill Climbing,50,5,5139.641580646588,0.06517280009575188,27,6.865292718562659,2801
Hill Climbing,50,6,5118.6031480645415,0.062229299917817116,28,6.736599905914025,2901
Hill Climbing,50,7,5075.043635759385,0.06158089987002313,27,6.748267456085843,2901
Hill Climbing,50,8,5084.47537477685,0.0739474999718368,27,6.765353939813133,3201
Hill Climbing,50,9,5192.1800525646895,0.05285660014487803,28,6.869891399573713,2501
Hill Climbing,50,10,5148.084049976429,0.06879759998992085,27,6.880587047058749,3301
Simulated Annealing,50,1,5235.07241002045,0.7546357000246644,29,6.857015235544294,20000
Simulated Annealing,50,2,5262.732559561769,0.7026041999924928,28,6.997703912249583,20000
Simulated Annealing,50,3,5194.040997200934,0.6988805001601577,28,6.873262676088649,20000
Simulated Annealing,50,4,5286.28592411365,0.7653981999028474,28,7.040373050930525,20000
Simulated Annealing,50,5,5244.582163441907,0.6940296001266688,28,6.964822759858527,20000
Simulated Annealing,50,6,5100.021572419968,0.6979777000378817,28,6.702937631195595,20000
Simulated Annealing,50,7,5175.183201349523,0.688471200177446,28,6.8391000024447886,20000
Simulated Annealing,50,8,5178.48297509863,0.8010809000115842,28,6.845077853439548,20000
Simulated Annealing,50,9,5245.149095621973,0.7815493999514729,30,6.784690390619516,20000
Simulated Annealing,50,10,5124.096753059212,0.7695012001786381,29,6.655972378730455,20000
Hill Climbing,100,1,6292.327020137303,0.20664769993163645,20,7.775954746625549,2701
Hill Climbing,100,2,6319.954892072837,0.14374840003438294,21,7.64484581897253,2501
Hill Climbing,100,3,6347.536758728413,0.07407220010645688,22,7.513653548421037,2601
Hill Climbing,100,4,6365.270969961159,0.06174560007639229,20,7.908099583262969,2301
Hill Climbing,100,5,6360.17909903043,0.05276140011847019,22,7.536556338823242,2501
Hill Climbing,100,6,6370.923540929293,0.04452220001257956,21,7.737180327770459,2101
Hill Climbing,100,7,6350.597358072759,0.05419160006567836,21,7.7003575327405045,2201
Hill Climbing,100,8,6344.180740415105,0.09900699998252094,21,7.688733225389683,2601
Hill Climbing,100,9,6465.577250603928,0.055862699868157506,20,8.089813859789725,2501
Hill Climbing,100,10,6297.2951025733055,0.05469909985549748,21,7.603795475676278,2601
Simulated Annealing,100,1,6418.873302196381,0.7581050998996943,20,8.005205257602139,20000
Simulated Annealing,100,2,6420.0567983764295,0.7591658001765609,21,7.826189852131213,20000
Simulated Annealing,100,3,6534.223682538907,0.6523718999233097,19,8.395332758222658,20000
Simulated Annealing,100,4,6365.395620946461,0.6542567000724375,20,7.908325400265329,20000
Simulated Annealing,100,5,6450.063231159983,0.5799665001686662,19,8.242868172391274,20000
Simulated Annealing,100,6,6372.465767902759,0.6990674000699073,21,7.739974217215143,20000
Simulated Annealing,100,7,6433.840812996965,0.6470119999721646,19,8.213479733690153,20000
Simulated Annealing,100,8,6399.7784797736285,0.6475372000131756,19,8.151772608285558,20000
Simulated Annealing,100,9,6609.6190690019175,0.6450245999731123,20,8.350759182974489,20000
Simulated Annealing,100,10,6492.957860803364,0.6492023998871446,19,8.320575834788704,20000
